-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.013,  0.115
-183.800, 80.199, 0.037,  0.148
-183.800, 80.197, 0.036,  0.181
-183.800, 80.196, 0.040,  0.214
-183.800, 80.194, 0.072,  0.247
-183.800, 80.188, 0.194,  0.280
-183.800, 80.178, 0.306,  0.313
-183.800, 80.164, 0.409,  0.346
-183.800, 80.144, 0.645,  0.379
-183.800, 80.115, 0.891,  0.412
-183.800, 80.078, 1.098,  0.445
-183.800, 80.036, 1.281,  0.478
-183.800, 79.988, 1.444,  0.511
-183.799, 79.936, 1.578,  0.544
-183.799, 79.881, 1.652,  0.577
-183.799, 79.825, 1.684,  0.610
-183.799, 79.769, 1.693,  0.643
-183.799, 79.714, 1.686,  0.676
-183.799, 79.659, 1.668,  0.709
-183.798, 79.605, 1.640,  0.742
-183.798, 79.552, 1.605,  0.775
-183.798, 79.501, 1.567,  0.808
-183.798, 79.451, 1.501,  0.841
-183.798, 79.403, 1.448,  0.874
-183.798, 79.357, 1.403,  0.907
-183.798, 79.312, 1.370,  0.940
-183.797, 79.267, 1.356,  0.973
-183.797, 79.222, 1.361,  1.006
-183.797, 79.176, 1.386,  1.039
-183.797, 79.129, 1.428,  1.072
-183.797, 79.079, 1.479,  1.105
-183.796, 79.029, 1.531,  1.138
-183.796, 78.976, 1.576,  1.171
-183.796, 78.922, 1.608,  1.204
-183.796, 78.868, 1.625,  1.237
-183.795, 78.814, 1.629,  1.270
-183.795, 78.760, 1.622,  1.303
-183.795, 78.706, 1.607,  1.336
-183.795, 78.653, 1.589,  1.369
-183.794, 78.601, 1.570,  1.402
-183.794, 78.550, 1.553,  1.435
-183.794, 78.498, 1.542,  1.468
-183.793, 78.447, 1.536,  1.501
-183.793, 78.396, 1.538,  1.534
-183.793, 78.345, 1.547,  1.567
-183.793, 78.293, 1.561,  1.600
-183.792, 78.240, 1.579,  1.633
-183.792, 78.187, 1.599,  1.666
-183.792, 78.133, 1.618,  1.699
-183.791, 78.079, 1.634,  1.732
